0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0.0748
0,0.3766
0,0.6748
0,0.9708
0,1.4487
0,3.282
0,4.051
0,5.2645
0,6.0035
0,6.7615
0,7.3353
0,7.838
0,8.253
0,8.9722
-0.17928,9.0071
-0.36865,9.0146
-0.55499,9.022
-0.74134,9.0294
-0.92832,9.0368
-1.2883,9.04
-1.7873,9.04
-2.4325,9.0379
-3.1227,9.035
-3.6297,9.035
-4.1985,9.0341
-4.972,9.0302
-5.7085,9.03
-6.4535,9.03
-7.1935,9.0291
-8.9672,9.0297
-9.3627,9.03
-9.7345,9.03
-10.021,8.9729
-10.026,8.7454
-10.03,8.5321
-10.034,8.319
-10.038,8.105
-10.04,7.7131
-10.04,7.2187
-10.038,6.5693
-10.036,5.8924
-10.038,5.3865
-10.04,4.834
-10.04,4.1245
-10.042,3.6273
-10.044,3.1213
-10.044,2.7795
-10.042,2.4802
-10.041,2.1808
-9.9978,2
-9.8955,2
-9.7025,2
-9.6023,2
-9.5023,2
-9.4002,2
-9.2999,2
-9.2003,2
-9.1004,2
-8.9486,2
-8.6454,2
-8.3494,2
-8.0536,2
-7.5697,2
-7.0541,2
-6.33,2
-5.807,2
-5.4393,2
-5.0588,2
-5.02,1.8104
-5.02,1.5987
-5.02,1.387
-5.02,1.1739
-5.02,0.9434
-5.02,0.6498
-5.02,0.3504
-5.02,0.0536
-4.8447,0
-4.6314,0
-4.42,0
-4.208,0
-3.9661,0
-3.4679,0
-2.9637,0
-2.2195,0
-1.7706,0
-1.4111,0
-1.0553,0
-0.78317,0
-0.53283,0
-0.288,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0.5828
0.11829,1
0.32714,1
0.54357,1
0.75786,1
0.96757,1
1.4417,1
2.415,1
2.9277,1
3.628,1
4.3715,1
5.0807,1
5.584,1
6.116,1
6.8515,1
7.5985,1
8.34,1
9.162,1
10.329,1
11.086,1
11.842,1
13.805,1
14,1.145
14,1.4428
14,1.8494
14,2.2383
14,2.736
14,3.3545
14,5.607
14,6.2337
14,6.744
14,7.3685
14,8.113
14,8.8555
14,9.1074
14,9.2407
13.783,9.45
13.617,9.45
13.455,9.45
13.234,9.45
12.705,9.45
12.205,9.45
11.548,9.45
10.875,9.45
